Identifier;DimensionGroupId;DimensionId;Index;Title;Description
NL01;NL;RegioVanVestiging;1;Nederland;"Grenswijziging per 01-01-2018:
- Ontvangen van Buitenland (NL98), 16 hectare met 0 woningen en 0 inwoners
... Eijsden-Margraten (GM1903) ontvangt van Buitenland (GM0998), 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2018:
- Over naar Buitenland (NL98), 5 hectare met 0 woningen en 0 inwoners
... Over van Eijsden-Margraten (GM1903) naar Buitenland (GM0998), 5 hectare met 0 woningen en 0 inwoners

"
LD01;LD;RegioVanVestiging;2;Noord-Nederland (LD);"LD = Landsdeel

Noord-Nederland: Groningen, Fryslân, Drenthe

Regionale groepering van provincies. Nederland telt 4 landsdelen.

"
LD02;LD;RegioVanVestiging;3;Oost-Nederland (LD);"LD = Landsdeel

Oost-Nederland: Overijssel, Flevoland, Gelderland

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Grenswijziging per 01-01-2016:
- Ontvangen van Zuid-Nederland (LD04), 0 hectare met 0 woningen en 5 inwoners
... Berg en Dal (GM1945) ontvangt van Mook en Middelaar (GM0944), 0 hectare met 0 woningen en 5 inwoners

"
LD03;LD;RegioVanVestiging;4;West-Nederland (LD);"LD = Landsdeel

West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland

Regionale groepering van provincies. Nederland telt 4 landsdelen.

"
LD04;LD;RegioVanVestiging;5;Zuid-Nederland (LD);"LD = Landsdeel

Zuid-Nederland: Noord-Brabant, Limburg

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Grenswijziging per 01-01-2018:
- Ontvangen van Buitenland (LD98), 16 hectare met 0 woningen en 0 inwoners
... Eijsden-Margraten (GM1903) ontvangt van Buitenland (GM0998), 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2018:
- Over naar Buitenland (LD98), 5 hectare met 0 woningen en 0 inwoners
... Over van Eijsden-Margraten (GM1903) naar Buitenland (GM0998), 5 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2016:
- Over naar Oost-Nederland (LD02), 0 hectare met 0 woningen en 5 inwoners
... Over van Mook en Middelaar (GM0944) naar Berg en Dal (GM1945), 0 hectare met 0 woningen en 5 inwoners

"
PV20;PV;RegioVanVestiging;6;Groningen (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2021:
- Over naar Fryslân (PV21), 25 hectare met 0 woningen en 0 inwoners
... Over van Het Hogeland (GM1966) naar Schiermonnikoog (GM0088), 25 hectare met 0 woningen en 0 inwoners

"
PV21;PV;RegioVanVestiging;7;Fryslân (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Vanaf 01-01-2020 hanteert het CBS de Friese naam (Fryslân) voor de provincie Friesland. Bij actualisering van tabellen wordt deze taalwijziging doorgevoerd. Stopgezette tabellen worden niet meer aangepast.

Grenswijziging per 01-01-2021:
- Ontvangen van Groningen (PV20), 25 hectare met 0 woningen en 0 inwoners
... Schiermonnikoog (GM0088) ontvangt van Het Hogeland (GM1966), 25 hectare met 0 woningen en 0 inwoners

"
PV22;PV;RegioVanVestiging;8;Drenthe (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

"
PV23;PV;RegioVanVestiging;9;Overijssel (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

"
PV24;PV;RegioVanVestiging;10;Flevoland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

"
